City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,Yar-Sale,66.83,70.83,25.3,98,100,3.8,RU,2020-10-21 01:51:47
278,Poum,-20.23,164.02,75.63,67,1,3.11,NC,2020-10-21 01:51:47
279,Khatanga,71.97,102.5,6.48,95,83,8.52,RU,2020-10-21 01:50:56
280,Edremit,39.6,27.02,62.6,77,40,17.22,TR,2020-10-21 01:51:48
281,Huaiyin,33.59,119.02,68.04,54,100,9.15,CN,2020-10-21 01:51:48
282,Colares,38.8,-9.45,61.0,98,0,15.17,PT,2020-10-21 01:51:49
283,Bereda,43.27,-7.54,55.99,100,100,10.0,ES,2020-10-21 01:51:49
284,Goderich,43.75,-81.72,46.0,83,100,16.46,CA,2020-10-21 01:51:49
285,Topolobampo,25.6,-109.05,86.0,55,5,8.05,MX,2020-10-21 01:51:49
286,Makokou,0.57,12.86,68.16,97,93,2.71,GA,2020-10-21 01:51:50
287,Orlik,52.52,99.83,18.9,85,58,3.69,RU,2020-10-21 01:51:50
288,Reconquista,-29.15,-59.65,70.63,74,81,14.16,AR,2020-10-21 01:51:50
289,Gornyy,55.12,83.91,37.8,79,5,13.18,RU,2020-10-21 01:51:51
290,Kazachinskoye,57.7,93.28,35.6,90,100,5.84,RU,2020-10-21 01:51:51
291,Sattahip,12.67,100.9,78.8,83,20,9.17,TH,2020-10-21 01:51:51
292,Anito,12.45,125.29,87.4,67,99,7.02,PH,2020-10-21 01:51:52
293,Yamethin,20.43,96.15,78.48,74,28,1.79,MM,2020-10-21 01:51:52
294,Karratha,-20.74,116.85,87.21,28,71,11.7,AU,2020-10-21 01:51:52
295,Nome,64.5,-165.41,41.0,80,40,6.93,US,2020-10-21 01:50:46
296,Talnakh,69.49,88.4,3.2,91,63,2.24,RU,2020-10-21 01:51:06
297,Kitui,-1.37,38.01,60.94,93,19,5.7,KE,2020-10-21 01:51:53
298,Bandar,2.05,99.75,84.2,68,96,1.66,ID,2020-10-21 01:51:53
299,Lisakovsk,52.54,62.49,40.59,79,99,13.62,KZ,2020-10-21 01:51:53
300,Two Hills,53.72,-111.75,21.2,92,0,0.13,CA,2020-10-21 01:51:53
301,Tam Ky,15.57,108.48,80.6,74,75,11.41,VN,2020-10-21 01:51:54
302,Pierre,44.37,-100.35,42.01,69,1,8.05,US,2020-10-21 01:49:18
303,Mahajanga,-15.72,46.32,75.2,69,20,3.36,MG,2020-10-21 01:51:54
304,Cayenne,4.93,-52.33,78.8,88,100,3.36,GF,2020-10-21 01:51:54
305,Touros,-5.2,-35.46,75.2,88,40,2.24,BR,2020-10-21 01:51:55
